Afghanistan;Afghan(s);Afghan
Albania;Albanian(s);Albanian
Algeria;Algerian(s);Algerian
American Samoa;American Samoan(s);American Samoan
Andorra;Andorran(s);Andorran
Angola;Angolan(s);Angolan
Anguilla;Anguillan(s);Anguillan
Antigua and Barbuda;Antiguan(s),Barbudan(s);Antiguan,Barbudan
Argentina;Argentine(s);Argentine
Armenia;Armenian(s);Armenian
Aruba;Aruban(s);Aruban
Australia;Australian(s);Australian
Austria;Austrian(s);Austrian
Azerbaijan;Azerbaijani(s);Azerbaijani
Bahamas;Bahamian(s);Bahamian
Bahrain;Bahraini(s);Bahraini
Bangladesh;Bangladeshi(s);Bangladeshi
Belarus;Belarusian(s);Belarusian
Belgium;Belgian(s);Belgian
Belize;Belizean(s);Belizean
Benin;Beninese;Beninese
Bermuda;Bermudian(s);Bermudian
Bhutan;Bhutanese;Bhutanese
Bolivia;Bolivian(s);Bolivian
Bosnia and Herzegovina;Bosnian(s),Herzegovinian(s);Bosnian,Herzegovinian
Botswana;Motswana,Batswana;Motswana,Batswana
Brazil;Brazilian(s);Brazilian
British Virgin Islands;British Virgin Islander(s);British Virgin Islander
Brunei;Bruneian(s);Bruneian
Bulgaria;Bulgarian(s);Bulgarian
Burkina Faso;Burkinabe;Burkinabe
Burma;Burmese;Burmese
Burundi;Burundian(s);Burundian
Cabo Verde;Cabo Verdean(s);Cabo Verdean
Cambodia;Cambodian(s);Cambodian
Cameroon;Cameroonian(s);Cameroonian
Canada;Canadian(s);Canadian
Cayman Islands;Caymanian(s);Caymanian
Central African Republic;Central African(s);Central African
Chad;Chadian(s);Chadian
Chile;Chilean(s);Chilean
China;Chinese;Chinese
Christmas Island;Christmas Islander(s);Christmas Island
Cocos (Keeling) Islands;Cocos Islander(s);Cocos Islander
Colombia;Colombian(s);Colombian
Comoros;Comoran(s);Comoran
Congo;Congolese;Congolese,Congo
Cook Islands;Cook Islander(s);Cook Islander
Costa Rica;Costa Rican(s);Costa Rican
Cote d'Ivoire;Ivoirian(s);Ivoirian
Croatia;Croat(s),Croatian(s);Croatian
Cuba;Cuban(s);Cuban
Curacao;Curacaoan;Curacaoan
Cyprus;Cypriot(s);Cypriot
Czech Republic;Czech(s);Czech
Denmark;Dane(s);Danish
Djibouti;Djiboutian(s);Djiboutian
Dominica;Dominican(s);Dominican
Dominican Republic;Dominican(s);Dominican
Ecuador;Ecuadorian(s);Ecuadorian
Egypt;Egyptian(s);Egyptian
El Salvador;Salvadoran(s);Salvadoran
Equatorial Guinea;Equatorial Guinean(s),Equatoguinean(s);Equatorial Guinean,Equatoguinean
Eritrea;Eritrean(s);Eritrean
Estonia;Estonian(s);Estonian
Ethiopia;Ethiopian(s);Ethiopian
Falkland Islands (Islas Malvinas);Falkland Islander(s);Falkland Island
Faroe Islands;Faroese;Faroese
Fiji;Fijian(s);Fijian
Finland;Finn(s);Finnish
France;Frenchman,Frenchwoman;French
French Polynesia;French Polynesian(s);French Polynesian
Gabon;Gabonese;Gabonese
Gambia,The;Gambian(s);Gambian
Georgia;Georgian(s);Georgian
Germany;German(s);German
Ghana;Ghanaian(s);Ghanaian
Gibraltar;Gibraltarian(s);Gibraltar
Greece;Greek(s);Greek
Greenland;Greenlander(s);Greenlandic
Grenada;Grenadian(s);Grenadian
Guam;Guamanian(s);Guamanian
Guatemala;Guatemalan(s);Guatemalan
Guernsey;Channel Islander(s);Channel Islander
Guinea-Bissau;Bissau-Guinean(s);Bissau-Guinean
Guinea;Guinean(s);Guinean
Guyana;Guyanese;Guyanese
Haiti;Haitian(s);Haitian
Holy See (Vatican City);none;none
Honduras;Honduran(s);Honduran
Hong Kong;Chinese/Hong Konger;Chinese/Hong Kong
Hungary;Hungarian(s);Hungarian
Iceland;Icelander(s);Icelandic
India;Indian(s);Indian
Indonesia;Indonesian(s);Indonesian
Iran;Iranian(s);Iranian
Iraq;Iraqi(s);Iraqi
Ireland;Irishman,Irishwoman,Irish;Irish
Isle of Man;Manxman,Manxwoman;Manx
Israel;Israeli(s);Israeli
Italy;Italian(s);Italian
Jamaica;Jamaican(s);Jamaican
Japan;Japanese;Japanese
Jersey;Channel Islander(s);Channel Islander
Jordan;Jordanian(s);Jordanian
Kazakhstan;Kazakhstani(s);Kazakhstani
Kenya;Kenyan(s);Kenyan
Kiribati;I-Kiribati;I-Kiribati
Korea,North;Korean(s);Korean
Korea,South;Korean(s);Korean
Kosovo;Kosovar (Albanian),Kosovac (Serbian);Kosovar (Albanian),Kosovski (Serbian)
Kuwait;Kuwaiti(s);Kuwaiti
Kyrgyzstan;Kyrgyzstani(s);Kyrgyzstani
Laos;Lao(s),Laotian(s);Lao,Laotian
Latvia;Latvian(s);Latvian
Lebanon;Lebanese;Lebanese
Lesotho;Mosotho,Basotho;Basotho
Liberia;Liberian(s);Liberian
Libya;Libyan(s);Libyan
Liechtenstein;Liechtensteiner(s);Liechtenstein
Lithuania;Lithuanian(s);Lithuanian
Luxembourg;Luxembourger(s);Luxembourg
Macau;Chinese;Chinese
Macedonia;Macedonian(s);Macedonian
Madagascar;Malagasy;Malagasy
Malawi;Malawian(s);Malawian
Malaysia;Malaysian(s);Malaysian
Maldives;Maldivian(s);Maldivian
Mali;Malian(s);Malian
Malta;Maltese;Maltese
Marshall Islands;Marshallese;Marshallese
Mauritania;Mauritanian(s);Mauritanian
Mauritius;Mauritian(s);Mauritian
Mexico;Mexican(s);Mexican
Micronesia,Federated States of;Micronesian(s);Micronesian
Moldova;Moldovan(s);Moldovan
Monaco;Monegasque(s),Monacan(s);Monegasque,Monacan
Mongolia;Mongolian(s);Mongolian
Montenegro;Montenegrin(s);Montenegrin
Montserrat;Montserratian(s);Montserratian
Morocco;Moroccan(s);Moroccan
Mozambique;Mozambican(s);Mozambican
Namibia;Namibian(s);Namibian
Nauru;Nauruan(s);Nauruan
Nepal;Nepali;Nepali
Netherlands;Dutchman,Dutchwoman;Dutch
New Caledonia;New Caledonian(s);New Caledonian
New Zealand;New Zealander(s);New Zealand
Nicaragua;Nicaraguan(s);Nicaraguan
Nigeria;Nigerian(s);Nigerian
Niger;Nigerien(s);Nigerien
Niue;Niuean(s);Niuean
Norfolk Island;Norfolk Islander(s);Norfolk Islander(s)
Northern Mariana Islands;NA;NA
Norway;Norwegian(s);Norwegian
Oman;Omani(s);Omani
Pakistan;Pakistani(s);Pakistani
Palau;Palauan(s);Palauan
Panama;Panamanian(s);Panamanian
Papua New Guinea;Papua New Guinean(s);Papua New Guinean
Paraguay;Paraguayan(s);Paraguayan
Peru;Peruvian(s);Peruvian
Philippines;Filipino(s);Philippine
Pitcairn Islands;Pitcairn Islander(s);Pitcairn Islander
Poland;Pole(s);Polish
Portugal;Portuguese;Portuguese
Puerto Rico;Puerto Rican(s);Puerto Rican
Qatar;Qatari(s);Qatari
Romania;Romanian(s);Romanian
Russia;Russian(s);Russian
Rwanda;Rwandan(s);Rwandan
Samoa;Samoan(s);Samoan
San Marino;Sammarinese;Sammarinese
Sao Tome and Principe;Sao Tomean(s);Sao Tomean
Saudi Arabia;Saudi(s);Saudi,Saudi Arabian
Senegal;Senegalese;Senegalese
Serbia;Serb(s);Serbian
Seychelles;Seychellois;Seychellois
Sierra Leone;Sierra Leonean(s);Sierra Leonean
Singapore;Singaporean(s);Singapore
Slovakia;Slovak(s);Slovak
Slovenia;Slovene(s);Slovenian
Solomon Islands;Solomon Islander(s);Solomon Islander
Somalia;Somali(s);Somali
South Africa;South African(s);South African
South Sudan;South Sudanese;South Sudanese
Spain;Spaniard(s);Spanish
Sri Lanka;Sri Lankan(s);Sri Lankan
Sudan;Sudanese;Sudanese
Suriname;Surinamer(s);Surinamese
Swaziland;Swazi(s);Swazi
Sweden;Swede(s);Swedish
Switzerland;Swiss;Swiss
Syria;Syrian(s);Syrian
Taiwan;Taiwan;
Tajikistan;Tajikistani(s);Tajikistani
Tanzania;Tanzanian(s);Tanzanian
Thailand;Thai;Thai
Timor-Leste;Timorese;Timorese
Togo;Togolese;Togolese
Tokelau;Tokelauan(s);Tokelauan
Tonga;Tongan(s);Tongan
Trinidad and Tobago;Trinidadian(s),Tobagonian(s);Trinidadian,Tobagonian
Tunisia;Tunisian(s);Tunisian
Turkey;Turk(s);Turkish
Turkmenistan;Turkmen(s);Turkmen
Turks and Caicos Islands;none;none
Tuvalu;Tuvaluan(s);Tuvaluan
Uganda;Ugandan(s);Ugandan
Ukraine;Ukrainian(s);Ukrainian
United Arab Emirates;Emirati(s);Emirati
United Kingdom;Briton(s),British;British
United States;American(s);American
Uruguay;Uruguayan(s);Uruguayan
Uzbekistan;Uzbekistani;Uzbekistani
Vanuatu;Ni-Vanuatu;Ni-Vanuatu
Venezuela;Venezuelan(s);Venezuelan
Vietnam;Vietnamese;Vietnamese
Virgin Islands;Virgin Islander(s);Virgin Islander
Western Sahara;Sahrawi(s),Sahraoui(s);Sahrawi,Sahrawian,Sahraouian
Yemen;Yemeni(s);Yemeni
Zambia;Zambian(s);Zambian
Zimbabwe;Zimbabwean(s);Zimbabwean
